date,last,bid,ask
7/20/2020,3251.84,3214.26,3310.98
7/17/2020,3224.73,3184.72,3265.69
7/16/2020,3215.57,3159.91,3250.95
7/15/2020,3226.56,3179.92,3280.61
7/14/2020,3197.52,3159.22,3431.86
7/13/2020,3155.22,3125.9,3200.35
7/10/2020,3185.04,3154.6,3220.6
7/9/2020,3152.05,3122.46,3186.22
7/8/2020,3169.94,3145.94,3206.15
7/7/2020,3145.32,3113.17,3181.45
7/6/2020,3179.72,3133.6,3214.09
7/2/2020,3130.01,3096.32,3302.65
7/1/2020,3115.86,3073.88,3174.84
6/30/2020,3100.29,3041.25,3146.17
6/29/2020,3053.24,3015.27,3090.94
6/26/2020,3009.05,2977.94,3245.56
6/25/2020,3083.76,3040.59,3116.56
6/24/2020,3050.33,3032.75,3153.26
6/23/2020,3131.29,3093.18,3166.1
6/22/2020,3117.86,3090.88,3148.91
6/19/2020,3097.74,3053.25,3185.43
6/18/2020,3115.34,3074.94,3257.49
6/17/2020,3113.49,3085.84,3209.75
6/16/2020,3124.74,3074.3,3160.85
6/15/2020,3066.59,3036.68,3176.27
6/12/2020,3041.31,2996.68,3131.26
6/11/2020,3002.1,2989.04,3076.75
6/10/2020,3190.14,3156.42,3302.57
6/9/2020,3207.18,3177.29,3233.14
6/8/2020,3232.39,3201.5,3260.11
6/5/2020,3193.93,3155.92,3339.66
6/4/2020,3112.35,3085.14,3147.76
6/3/2020,3122.87,3085.21,3275.38
6/2/2020,3080.82,3050.53,3184.52
6/1/2020,3055.73,3024.21,3105.01
5/29/2020,3044.31,3016.13,3159.93
5/28/2020,3029.73,3004.24,3085.19
5/27/2020,3036.13,2991.94,3147.5
5/26/2020,2991.77,2965.55,3118.95
5/22/2020,2955.45,2925.43,2991.67
5/21/2020,2948.51,2913.71,2981.69
5/20/2020,2971.61,2938.37,3069.25
5/19/2020,2922.94,2894.44,2975.73
5/18/2020,2953.91,2912.59,2990.82
5/15/2020,2863.7,2822.29,2890.42
5/14/2020,2852.5,2821.97,2891.35
5/13/2020,2820,2797.54,2874.6
5/12/2020,2870.12,2828.1,2895.34
5/11/2020,2930.32,2901.94,3000.82
5/8/2020,2929.8,2895.68,2972.2
5/7/2020,2881.19,2852.13,2935.86
5/6/2020,2848.42,2811.93,2896.47
5/5/2020,2868.44,2827.38,2962.84
5/4/2020,2842.74,2799.41,3058.27
5/1/2020,2830.71,2794.41,2879.82
4/30/2020,2912.43,2851.17,2933.93
4/29/2020,2939.51,2939.38,3063.26
4/28/2020,2863.39,2834.39,3086.89
4/27/2020,2878.48,2843.62,3002.61
4/24/2020,2836.74,2796.4,2927.31
4/23/2020,2797.8,2754.28,2889.52
4/22/2020,2799.31,2756.29,2875.33
4/21/2020,2736.56,2705.66,2829.42
4/20/2020,2823.16,2787.99,2928.93
4/17/2020,2874.56,2822.59,3115.06
4/16/2020,2799.55,2749.44,2861.98
4/15/2020,2783.36,2741.44,2939.72
4/14/2020,2846.06,2795.18,3023.12
4/13/2020,2761.63,2724.56,3015.03
4/9/2020,2789.82,2736.76,3157.62
4/8/2020,2749.98,2694.35,2961.78
4/7/2020,2659.41,2604.32,2833.8
4/6/2020,2663.68,2601.24,2870.36
4/3/2020,2488.65,2437.9,3374.22
